model,feature,accuracy,precision,recall,f1,cohen_kappa,mcc,roc_auc,n_samples,n_missing
gpt-4o-mini,SigWound,0.9,0.9444444444444444,0.75,0.803921568627451,0.6153846153846154,0.6666666666666666,0.75,10,0
gpt-4o-mini,SupWound,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Beating,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Peircing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
gpt-4o-mini,Scarific,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Tattoo,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Lacerate,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
gpt-4o-mini,Circumci,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Foul,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Vomit,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Swallow,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Sucking,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Discmfort,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Onegatve,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Fasting,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
gpt-4o-mini,Athletic,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Zdeprive,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Dehydrat,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
gpt-4o-mini,Immobile,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Oendure,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Isolate,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
gpt-4o-mini,Fear,0.9,,,,0.0,,,10,0
